magasin_id,taille,urbain,qualite_equipe,n_potentiel,mois,effet_saison_val,p_visite,nb_visites,ventes,panier_moyen,pub,log_rev_int
0,moyen,1,1,150,1,-0.04,0.71,114,6313.762850819483,55.38388465631125,1,3.739851815054275
0,moyen,1,1,150,2,-0.04,0.71,103,5726.554298688225,55.59761455037111,1,3.64223399069922
0,moyen,1,1,150,3,0.0,0.75,113,6499.902841694351,57.52126408579072,1,3.7689072142441202
0,moyen,1,1,150,4,0.04,0.79,122,6698.381479364123,54.90476622429609,1,3.7989859118558496
0,moyen,1,1,150,5,0.08,0.83,129,7194.732271593589,55.77311838444643,1,3.870469114191485
0,moyen,1,1,150,6,0.08,0.83,130,7002.004042518332,53.86156955783333,1,3.843316384755854
0,moyen,1,1,150,7,0.08,0.83,129,7183.115252807418,55.6830639752513,1,3.868853153068731
0,moyen,1,1,150,8,0.04,0.79,122,6546.593772204607,53.6606046902017,1,3.776064864490137
0,moyen,1,1,150,9,0.0,0.75,110,5956.4619523548035,54.1496541123164,1,3.6815966575385746
0,moyen,1,1,150,10,-0.04,0.71,100,5567.691140576827,55.676911405768266,1,3.6141004359370776
0,moyen,1,1,150,11,0.04,0.79,122,6905.327074164659,56.6010415915136,1,3.8294131383537295
0,moyen,1,1,150,12,0.08,0.83,124,6688.438083169253,53.939016799752046,1,3.797500361389279
0,moyen,1,1,150,13,-0.04,0.71,105,5765.415591924802,54.90871992309336,1,3.6489972248073825
0,moyen,1,1,150,14,-0.04,0.71,102,5235.568748629536,51.32910537872094,1,3.5525954667893473
0,moyen,1,1,150,15,0.0,0.75,115,6460.13750822703,56.17510876719156,1,3.7627705885571014
0,moyen,1,1,150,16,0.04,0.79,119,6759.361935600754,56.80136080336768,1,3.8080484822611647
0,moyen,1,1,150,17,0.08,0.83,124,6734.42204213285,54.30985517849073,1,3.804351976980275
0,moyen,1,1,150,18,0.08,0.83,119,6601.815124616185,55.477438021984746,1,3.784464614988741
0,moyen,1,1,150,19,0.08,0.83,129,7007.862030716482,54.32451186601924,1,3.84415265092841
0,moyen,1,1,150,20,0.04,0.79,122,6584.742354979147,53.97329799163236,1,3.7818751932684758
0,moyen,1,1,150,21,0.0,0.75,109,6092.612700915401,55.895529366196335,1,3.7041969895357316
0,moyen,1,1,150,22,-0.04,0.71,112,6251.065431955195,55.813084213885666,1,3.7298719032188146
0,moyen,1,1,150,23,0.04,0.79,111,6033.5573829901505,54.356372819731085,1,3.6944567691022883
0,moyen,1,1,150,24,0.08,0.83,116,6123.429144907824,52.78818228368814,1,3.70924224228611
1,moyen,1,1,150,1,-0.04,0.71,117,6173.005978017132,52.760734854847286,1,3.717305896710768
1,moyen,1,1,150,2,-0.04,0.71,107,5542.416915501757,51.79828892992296,1,3.609550656844642
1,moyen,1,1,150,3,0.0,0.75,114,6265.973461936018,54.964679490666825,1,3.7322539421589105
1,moyen,1,1,150,4,0.04,0.79,114,6414.301521118794,56.265802816831524,1,3.7556500948927014
1,moyen,1,1,150,5,0.08,0.83,121,6425.464978235808,53.10301634905627,1,3.757388983202005
1,moyen,1,1,150,6,0.08,0.83,118,6360.990309959067,53.906697542025995,1,3.747304059229567
1,moyen,1,1,150,7,0.08,0.83,124,6762.067541178079,54.53280275143612,1,3.8084486774650936
1,moyen,1,1,150,8,0.04,0.79,129,7244.884671922932,56.16189668157312,1,3.8774156422327173
1,moyen,1,1,150,9,0.0,0.75,102,5450.281023253351,53.434127678954425,1,3.5927871561313593
1,moyen,1,1,150,10,-0.04,0.71,111,6078.975658388227,54.76554647196601,1,3.7019561894312942
1,moyen,1,1,150,11,0.04,0.79,124,6878.599708589347,55.47257829507538,1,3.8255350853876515
1,moyen,1,1,150,12,0.08,0.83,124,6956.173193293248,56.098170913655224,1,3.8367494794712425
1,moyen,1,1,150,13,-0.04,0.71,113,6215.498921164468,55.004415231543966,1,3.7241659835636978
1,moyen,1,1,150,14,-0.04,0.71,102,5577.5433806768615,54.681797849773154,1,3.615868409979712
1,moyen,1,1,150,15,0.0,0.75,110,6249.743860392858,56.815853276298704,1,3.7296604654572496
1,moyen,1,1,150,16,0.04,0.79,116,6445.658710561083,55.56602336690589,1,3.760526820951455
1,moyen,1,1,150,17,0.08,0.83,126,7163.77770297047,56.855378595003735,1,3.866157438866799
1,moyen,1,1,150,18,0.08,0.83,114,6188.4027921113875,54.284235018520945,1,3.7197970079332543
1,moyen,1,1,150,19,0.08,0.83,120,6694.985080136281,55.79154233446901,1,3.798478735518137
1,moyen,1,1,150,20,0.04,0.79,119,6708.547586054951,56.37434946264665,1,3.800502457306288
1,moyen,1,1,150,21,0.0,0.75,110,5974.495461109344,54.31359510099404,1,3.6846196374827187
1,moyen,1,1,150,22,-0.04,0.71,112,6253.963722770905,55.838961810454514,1,3.730335443260464
1,moyen,1,1,150,23,0.04,0.79,124,6763.557830252941,54.54482121171727,1,3.8086690427406307
1,moyen,1,1,150,24,0.08,0.83,124,6770.317154680818,54.599331892587244,1,3.809667917785274
2,grand,0,1,500,1,-0.04,0.51,247,13550.36478827178,54.85977647073595,1,3.2995606491669482
2,grand,0,1,500,2,-0.04,0.51,243,13146.110594436519,54.099220553236705,1,3.2692731231482735
2,grand,0,1,500,3,0.0,0.55,276,15343.144231836026,55.59110228926097,1,3.4238159249765174
2,grand,0,1,500,4,0.04,0.59,291,15993.879327972463,54.961784632207774,1,3.4653532876101485
2,grand,0,1,500,5,0.08,0.63,317,17134.846431459115,54.053143316905725,1,3.534261373573763
2,grand,0,1,500,6,0.08,0.63,315,17381.816964654965,55.18037131636497,1,3.548571838353793
2,grand,0,1,500,7,0.08,0.63,312,17137.754769263163,54.92870118353578,1,3.5344310915239117
2,grand,0,1,500,8,0.04,0.59,280,15321.941510229708,54.721219679391815,1,3.422433067275516
2,grand,0,1,500,9,0.0,0.55,280,15546.071442706747,55.52168372395267,1,3.4369551469258393
