magasin_id,taille,urbain,qualite_equipe,n_potentiel,mois,effet_saison_val,p_visite,nb_visites,ventes,panier_moyen,pub,log_rev_int
0,moyen,1,1,150,1,-0.04,0.71,108,5786.732038550441,53.58085220880038,1,3.6526877023706885
0,moyen,1,1,150,2,-0.04,0.71,105,6041.708385182351,57.54007985887953,1,3.6958068020683004
0,moyen,1,1,150,3,0.0,0.75,107,5779.342862974434,54.01255012125639,1,3.6514099695798814
0,moyen,1,1,150,4,0.04,0.79,115,6476.919218634693,56.32103668377994,1,3.765364952974717
0,moyen,1,1,150,5,0.08,0.83,127,6752.435865365127,53.1687863414577,1,3.807023293615765
0,moyen,1,1,150,6,0.08,0.83,122,6483.65729841132,53.144731954191144,1,3.766404733940453
0,moyen,1,1,150,7,0.08,0.83,129,7099.441808928378,55.03443262735177,1,3.857136147381766
0,moyen,1,1,150,8,0.04,0.79,119,6370.661053470953,53.534966835890366,1,3.7488232251406854
0,moyen,1,1,150,9,0.0,0.75,120,6600.4307630454205,55.00358969204517,1,3.784254898916549
0,moyen,1,1,150,10,-0.04,0.71,105,5376.99710934826,51.209496279507235,1,3.5792500451176408
0,moyen,1,1,150,11,0.04,0.79,114,6315.144419125762,55.396003676541774,1,3.740070609647071
0,moyen,1,1,150,12,0.08,0.83,119,6619.30978834834,55.62445200292722,1,3.7871110878203815
0,moyen,1,1,150,13,-0.04,0.71,103,5860.168667675131,56.89484143373913,1,3.6652983709402984
0,moyen,1,1,150,14,-0.04,0.71,107,5738.21963143899,53.62822085457,1,3.6442689783662323
0,moyen,1,1,150,15,0.0,0.75,107,5726.7766642678125,53.52127723614778,1,3.642272820552358
0,moyen,1,1,150,16,0.04,0.79,109,6100.967689225928,55.97218063510025,1,3.7055673810615577
0,moyen,1,1,150,17,0.08,0.83,127,7000.844633783904,55.124760895936255,1,3.8431507886312537
0,moyen,1,1,150,18,0.08,0.83,119,6529.6337139534335,54.87087154582717,1,3.773470833791379
0,moyen,1,1,150,19,0.08,0.83,119,6541.368894439107,54.96948650789165,1,3.7752664395287976
0,moyen,1,1,150,20,0.04,0.79,117,6574.186049478261,56.189624354515054,1,3.7802707605303483
0,moyen,1,1,150,21,0.0,0.75,122,6400.703645761952,52.464783981655344,1,3.7535279138583424
0,moyen,1,1,150,22,-0.04,0.71,96,5018.662614473515,52.277735567432444,1,3.510283471636223
0,moyen,1,1,150,23,0.04,0.79,110,6103.82160631977,55.48928733017972,1,3.706035052739741
0,moyen,1,1,150,24,0.08,0.83,127,6808.085529533618,53.606972673493054,1,3.8152309391705215
1,moyen,1,1,150,1,-0.04,0.71,105,5889.986635777348,56.095110816927125,1,3.67037371357861
1,moyen,1,1,150,2,-0.04,0.71,111,5874.738493053516,52.92557200949114,1,3.6677815321047453
1,moyen,1,1,150,3,0.0,0.75,115,6147.76330817684,53.45881137545078,1,3.7132083108258165
1,moyen,1,1,150,4,0.04,0.79,124,6818.326885728385,54.986507142970844,1,3.8167341019709746
1,moyen,1,1,150,5,0.08,0.83,124,6787.620388077243,54.73887409739712,1,3.8122204067219365
1,moyen,1,1,150,6,0.08,0.83,120,6453.540602142548,53.77950501785457,1,3.7617488956510288
1,moyen,1,1,150,7,0.08,0.83,132,7450.6296863917705,56.44416429084674,1,3.90541853536892
1,moyen,1,1,150,8,0.04,0.79,114,6146.243222259159,53.914414230343496,1,3.712961021885199
1,moyen,1,1,150,9,0.0,0.75,107,5704.653775977698,53.31452127081961,1,3.638402278536727
1,moyen,1,1,150,10,-0.04,0.71,118,6411.243506931505,54.33257209263987,1,3.7551732318450024
1,moyen,1,1,150,11,0.04,0.79,112,5983.27324161629,53.42208251443116,1,3.6860877679177193
1,moyen,1,1,150,12,0.08,0.83,127,7295.7638969823165,57.4469598187584,1,3.884413876523319
1,moyen,1,1,150,13,-0.04,0.71,108,5877.424123894173,54.42059373976086,1,3.6682385766462384
1,moyen,1,1,150,14,-0.04,0.71,103,5806.786607035888,56.376569000348425,1,3.6561473230607016
1,moyen,1,1,150,15,0.0,0.75,116,6494.993027017526,55.99131919842695,1,3.7681515614154932
1,moyen,1,1,150,16,0.04,0.79,119,6705.604879249588,56.34962083403015,1,3.8000637107123185
1,moyen,1,1,150,17,0.08,0.83,116,6273.99051245975,54.08612510741164,1,3.733532582453631
1,moyen,1,1,150,18,0.08,0.83,124,6796.548132149229,54.81087203346152,1,3.8135348405563065
1,moyen,1,1,150,19,0.08,0.83,138,7648.727191314338,55.425559357350274,1,3.9316592386612537
1,moyen,1,1,150,20,0.04,0.79,119,6359.267157714785,53.439219812729284,1,3.7470331288243925
1,moyen,1,1,150,21,0.0,0.75,116,6279.968384663862,54.13765848848157,1,3.734484931064123
1,moyen,1,1,150,22,-0.04,0.71,106,5642.590873135924,53.23198936920683,1,3.6274633195850976
1,moyen,1,1,150,23,0.04,0.79,117,6327.707561347415,54.08297060980697,1,3.742058000842686
1,moyen,1,1,150,24,0.08,0.83,127,7008.751898677195,55.18702282422988,1,3.8442796242425628
2,grand,0,1,500,1,-0.04,0.41000000000000003,226,11002.818758738698,48.68503875548097,0,3.0912986713261157
2,grand,0,1,500,2,-0.04,0.41000000000000003,207,10034.417669559343,48.475447679030644,0,2.9991681311851663
2,grand,0,1,500,3,0.0,0.45,232,11424.229477143823,49.24236843596476,0,3.1288836732404257
2,grand,0,1,500,4,0.04,0.49,263,13029.112563340574,49.5403519518653,0,3.2603334621893154
2,grand,0,1,500,5,0.08,0.53,275,13688.923113076504,49.777902229369104,0,3.309734154463596
2,grand,0,1,500,6,0.08,0.53,280,14366.392319780705,51.3085439992168,0,3.358038792748257
2,grand,0,1,500,7,0.08,0.53,250,12262.792141207889,49.051168564831556,0,3.1997168291193545
2,grand,0,1,500,8,0.04,0.49,228,11649.00186124004,51.0921134264914,0,3.1483676797543807
2,grand,0,1,500,9,0.0,0.45,207,10087.041105283213,48.72966717528122,0,3.004398721699508
2,grand,0,1,500,10,-0.04,0.41000000000000003,186,9465.445934405327,50.88949427099638,0,2.940795078153167
2,grand,0,1,500,11,0.04,0.49,260,13327.30069352253,51.2588488212405,0,3.282961795634488
2,grand,0,1,500,12,0.08,0.53,266,12955.295346623945,48.70411784445092,0,3.2546517922009857
2,grand,0,1,500,13,-0.04,0.41000000000000003,217,10679.66804117161,49.21506009756502,0,3.061488931321627
2,grand,0,1,500,14,-0.04,0.41000000000000003,219,10795.023011245368,49.292342517102135,0,3.07223237618219
2,grand,0,1,500,15,0.0,0.45,218,10952.099770199364,50.23898977155672,0,3.0866783782744465
2,grand,0,1,500,16,0.04,0.49,254,12889.149726298307,50.744683961804355,0,3.249533031510531
2,grand,0,1,500,17,0.08,0.53,279,14319.666341924572,51.324968967471584,0,3.35478104167606
2,grand,0,1,500,18,0.08,0.53,272,13364.738975721522,49.13506976368207,0,3.285766999524006
2,grand,0,1,500,19,0.08,0.53,277,14073.235079245156,50.805902813159406,0,3.337421952708659
2,grand,0,1,500,20,0.04,0.49,242,12469.514305283432,51.52691861687369,0,3.216433990438299
2,grand,0,1,500,21,0.0,0.45,204,10263.919478834778,50.31333077860185,0,3.0217819628342055
2,grand,0,1,500,22,-0.04,0.41000000000000003,208,10728.91041968732,51.58130009465057,0,3.066089186816973
2,grand,0,1,500,23,0.04,0.49,252,12575.192794359697,49.90155870777657,0,3.22487322798764
2,grand,0,1,500,24,0.08,0.53,283,14321.189747289412,50.60491076780711,0,3.354887421552523
3,moyen,1,0,150,1,-0.04,0.51,78,4063.095546714892,52.09096854762682,1,3.299065117912012
3,moyen,1,0,150,2,-0.04,0.51,86,4755.982452699296,55.30212154301507,1,3.4565232741994727
3,moyen,1,0,150,3,0.0,0.55,86,4791.8447252325905,55.71912471200687,1,3.4640354422593087
3,moyen,1,0,150,4,0.04,0.59,98,5497.42501516603,56.09617362414316,1,3.6013997884335494
3,moyen,1,0,150,5,0.08,0.63,89,4959.60403257057,55.7258880064109,1,3.498445890292932
3,moyen,1,0,150,6,0.08,0.63,86,4851.721369592502,56.41536476270351,1,3.4764535484309778
3,moyen,1,0,150,7,0.08,0.63,94,5105.162510289428,54.310239471164124,1,3.5273722695491
3,moyen,1,0,150,8,0.04,0.59,81,4346.810189378799,53.664323325664185,1,3.366562271200027
3,moyen,1,0,150,9,0.0,0.55,79,4620.576611608169,58.488311539343904,1,3.4276394898990907
3,moyen,1,0,150,10,-0.04,0.51,80,4443.605820092292,55.54507275115365,1,3.388586153380076
3,moyen,1,0,150,11,0.04,0.59,92,5077.24456321461,55.18744090450663,1,3.5218886905033733
3,moyen,1,0,150,12,0.08,0.63,86,4699.184437941278,54.64167951094509,1,3.444508954702609
3,moyen,1,0,150,13,-0.04,0.51,68,3783.874827472365,55.64521805106419,1,3.2278685561077545
3,moyen,1,0,150,14,-0.04,0.51,76,4065.5372562958473,53.49391126705062,1,3.299665885522892
3,moyen,1,0,150,15,0.0,0.55,82,4369.379054307566,53.285110418384946,1,3.3717408910614393
3,moyen,1,0,150,16,0.04,0.59,96,5477.938834032446,57.061862854504646,1,3.5978488899164285
3,moyen,1,0,150,17,0.08,0.63,92,5005.875329965392,54.411688369189044,1,3.507732273463376
3,moyen,1,0,150,18,0.08,0.63,98,5387.1545008091,54.970964293970404,1,3.5811373084791316
3,moyen,1,0,150,19,0.08,0.63,91,4995.428671848382,54.89482056976244,1,3.5056432134939226
3,moyen,1,0,150,20,0.04,0.59,87,4816.526083042659,55.36236877060527,1,3.469172923438708
3,moyen,1,0,150,21,0.0,0.55,85,4334.481947828015,50.99390526856488,1,3.3637220834392068
3,moyen,1,0,150,22,-0.04,0.51,83,4469.313772173087,53.84715388160346,1,3.3943548631966722
3,moyen,1,0,150,23,0.04,0.59,74,4043.030131412992,54.635542316391785,1,3.294114428253076
3,moyen,1,0,150,24,0.08,0.63,79,4338.045634518243,54.911970057192946,1,3.364543916948981
4,petit,0,1,30,1,-0.04,0.41000000000000003,13,643.7324504666761,49.51788080512893,0,3.066085808533203
4,petit,0,1,30,2,-0.04,0.41000000000000003,14,659.3171812446445,47.094084374617466,0,3.090007343945614
4,petit,0,1,30,3,0.0,0.45,10,629.627494357305,62.962749435730494,0,3.0439309840512494
4,petit,0,1,30,4,0.04,0.49,18,871.8533911815098,48.43629951008388,0,3.369423898732493
4,petit,0,1,30,5,0.08,0.53,19,1047.4497683366108,55.12893517561109,0,3.55291631512905
4,petit,0,1,30,6,0.08,0.53,15,625.8861228088193,41.72574152058795,0,3.037971060443892
4,petit,0,1,30,7,0.08,0.53,15,743.6981116902026,49.57987411268017,0,3.2104378069692525
4,petit,0,1,30,8,0.04,0.49,20,967.344747469725,48.36723737348625,0,3.473357562633907
4,petit,0,1,30,9,0.0,0.45,9,332.3170049059388,36.92411165621542,0,2.4048919657442993
4,petit,0,1,30,10,-0.04,0.41000000000000003,13,587.7117927178613,45.20859943983548,0,2.9750392976354476
4,petit,0,1,30,11,0.04,0.49,17,768.6707295576889,45.21592526809935,0,3.2434653161192313
4,petit,0,1,30,12,0.08,0.53,12,500.7061644296703,41.725513702472526,0,2.8148220492210245
4,petit,0,1,30,13,-0.04,0.41000000000000003,6,361.97480446117544,60.32913407686257,0,2.4903772268053785
4,petit,0,1,30,14,-0.04,0.41000000000000003,14,705.7468527407393,50.41048948148138,0,3.158059226008066
4,petit,0,1,30,15,0.0,0.45,15,738.2525476833897,49.21683651222598,0,3.2030885899324066
4,petit,0,1,30,16,0.04,0.49,10,552.4106087675194,55.241060876751945,0,2.9130942445537396
4,petit,0,1,30,17,0.08,0.53,16,696.7901908530159,43.549386928313496,0,3.145286966356005
4,petit,0,1,30,18,0.08,0.53,16,753.4376187096036,47.089851169350226,0,3.223448844270656
4,petit,0,1,30,19,0.08,0.53,20,881.3694989781397,44.06847494890699,0,3.380279564948568
4,petit,0,1,30,20,0.04,0.49,18,700.0499497160921,38.89166387311623,0,3.1499543075727527
4,petit,0,1,30,21,0.0,0.45,15,819.8904655251824,54.65936436834549,0,3.3079733710458976
4,petit,0,1,30,22,-0.04,0.41000000000000003,18,847.9333938235623,47.10741076797568,0,3.341604706025542
4,petit,0,1,30,23,0.04,0.49,16,908.4244864097324,56.77653040060827,0,3.4105143837428678
4,petit,0,1,30,24,0.08,0.53,16,783.2864733861825,48.955404586636405,0,3.262301113809451
5,grand,1,1,500,1,-0.04,0.71,358,19841.32845147651,55.4227051717221,1,3.680914238414813
5,grand,1,1,500,2,-0.04,0.71,352,19322.474382959343,54.89339313340722,1,3.6544160747957273
5,grand,1,1,500,3,0.0,0.75,375,20200.213628247577,53.86723634199354,1,3.698840360567003
5,grand,1,1,500,4,0.04,0.79,394,21852.38213945067,55.46289883109307,1,3.7774571185595227
5,grand,1,1,500,5,0.08,0.83,410,22381.153894719955,54.58818023102428,1,3.8013664413067287
5,grand,1,1,500,6,0.08,0.83,433,24584.76041370902,56.77773767600235,1,3.895273936154033
5,grand,1,1,500,7,0.08,0.83,423,22864.66244199303,54.05357551298589,1,3.822739774472995
5,grand,1,1,500,8,0.04,0.79,397,21926.11112813445,55.22949906331095,1,3.7808253961262968
5,grand,1,1,500,9,0.0,0.75,366,20177.109398114473,55.12871420249856,1,3.6976959442995043
5,grand,1,1,500,10,-0.04,0.71,345,18893.034995397567,54.76242027651469,1,3.6319405159437825
5,grand,1,1,500,11,0.04,0.79,392,21413.580480828095,54.62648081843902,1,3.7571725032209637
5,grand,1,1,500,12,0.08,0.83,413,22487.75608621611,54.44977260585015,1,3.806118167707991
5,grand,1,1,500,13,-0.04,0.71,367,20110.679564275826,54.79749200075157,1,3.6943981761293916
5,grand,1,1,500,14,-0.04,0.71,334,18483.582499951288,55.340067365123616,1,3.6100300862078787
5,grand,1,1,500,15,0.0,0.75,375,20319.45781467439,54.18522083913171,1,3.704726120565545
5,grand,1,1,500,16,0.04,0.79,386,21356.541491733984,55.3278276987927,1,3.754505266361268
5,grand,1,1,500,17,0.08,0.83,406,22240.370230554763,54.77923702107085,1,3.795056296861085
5,grand,1,1,500,18,0.08,0.83,415,22792.870088318876,54.92257852606958,1,3.8195949521900654
5,grand,1,1,500,19,0.08,0.83,397,21917.826232851672,55.20863030945006,1,3.780447469512947
5,grand,1,1,500,20,0.04,0.79,381,21018.445970177305,55.16652485610841,1,3.7385476122660757
5,grand,1,1,500,21,0.0,0.75,395,21873.876963179926,55.376903704252975,1,3.7784402726596804
5,grand,1,1,500,22,-0.04,0.71,365,20226.08780440052,55.41393919013841,1,3.700120427195364
5,grand,1,1,500,23,0.04,0.79,385,21503.533880831663,55.85333475540692,1,3.761364468737171
5,grand,1,1,500,24,0.08,0.83,419,22986.637824667665,54.860710798729514,1,3.828060263519151
6,moyen,0,0,150,1,-0.04,0.21,36,1918.0749298920705,53.279859163668625,0,2.5484420272639565
6,moyen,0,0,150,2,-0.04,0.21,29,1517.3245303440713,52.32153552910591,0,2.31406859140639
6,moyen,0,0,150,3,0.0,0.25,45,2310.595150694009,51.346558904311316,0,2.7346251172289198
6,moyen,0,0,150,4,0.04,0.29,57,2961.4194377424906,51.95472697793843,0,2.9827886780572643
6,moyen,0,0,150,5,0.08,0.33,52,2550.728216763499,49.05246570699036,0,2.833498878488752
6,moyen,0,0,150,6,0.08,0.33,33,1664.256451796178,50.43201369079327,0,2.406498433075963
6,moyen,0,0,150,7,0.08,0.33,55,2669.145364187753,48.5299157125046,0,2.8788783177396455
6,moyen,0,0,150,8,0.04,0.29,39,2048.553180111163,52.52700461823495,0,2.6142537630668397
6,moyen,0,0,150,9,0.0,0.25,26,1259.1336159201112,48.42821599692736,0,2.127543862926945
6,moyen,0,0,150,10,-0.04,0.21,38,1849.8929137252915,48.68139246645504,0,2.5122477378279284
6,moyen,0,0,150,11,0.04,0.29,50,2602.238016081012,52.044760321620245,0,2.8534918350743887
6,moyen,0,0,150,12,0.08,0.33,53,2751.362608083667,51.912502039314475,0,2.9092162676964257
6,moyen,0,0,150,13,-0.04,0.21,26,1183.4878943005465,45.51876516540563,0,2.0655859060775827
6,moyen,0,0,150,14,-0.04,0.21,33,1713.4111689894626,51.92155057543826,0,2.4356062040242445
6,moyen,0,0,150,15,0.0,0.25,44,2207.6900661199275,50.17477422999835,0,2.68906673484303
6,moyen,0,0,150,16,0.04,0.29,38,2003.7864153418825,52.731221456365326,0,2.592158583257819
6,moyen,0,0,150,17,0.08,0.33,40,1860.0039581272076,46.50009895318019,0,2.5176986006341076
6,moyen,0,0,150,18,0.08,0.33,40,2079.5175431136477,51.98793857784119,0,2.6292559012683165
6,moyen,0,0,150,19,0.08,0.33,46,2297.4313240221322,49.94415921787244,0,2.728911668075129
6,moyen,0,0,150,20,0.04,0.29,44,2322.6564233917684,52.78764598617656,0,2.7398315256226726
6,moyen,0,0,150,21,0.0,0.25,36,1844.5350051920875,51.23708347755799,0,2.5093472009073623
6,moyen,0,0,150,22,-0.04,0.21,24,1240.8983797016733,51.70409915423639,0,2.112955601938985
6,moyen,0,0,150,23,0.04,0.29,52,2719.9663807385914,52.30704578343445,0,2.8977395050948247
6,moyen,0,0,150,24,0.08,0.33,44,2224.964838855345,50.56738270125784,0,2.6968610976175773
7,moyen,0,1,150,1,-0.04,0.41000000000000003,66,3287.881088454752,49.8163801281023,0,3.087363296114019
7,moyen,0,1,150,2,-0.04,0.41000000000000003,61,3239.018249649145,53.098659830313856,0,3.0723902594059576
7,moyen,0,1,150,3,0.0,0.45,68,3512.0888523492936,51.64836547572491,0,3.1533309599825974
7,moyen,0,1,150,4,0.04,0.49,71,3533.659794206594,49.769856256430906,0,3.159454087654448
7,moyen,0,1,150,5,0.08,0.53,71,3552.681445107722,50.03776683250313,0,3.1648226399001076
