magasin_id,taille,urbain,qualite_equipe,n_potentiel,mois,effet_saison_val,p_visite,nb_visites,ventes,panier_moyen,pub,log_rev_int,posts_reseaux
0,moyen,1,1,150,1,-0.04,0.71,112,6346.755533000011,56.66746011607153,1,3.745063727531284,8.136743995063316
0,moyen,1,1,150,2,-0.04,0.71,107,5813.908967467698,54.335597826800914,1,3.65737312942969,8.136743995063316
0,moyen,1,1,150,3,0.0,0.75,111,6295.142485709798,56.71299536675494,1,3.736898286869445,8.136743995063316
0,moyen,1,1,150,4,0.04,0.79,122,6842.378567286423,56.08507022365921,1,3.820255399826819,8.136743995063316
0,moyen,1,1,150,5,0.08,0.83,123,6400.536225787439,52.03687988445073,1,3.7535017570210045,8.136743995063316
0,moyen,1,1,150,6,0.08,0.83,121,6905.505209216011,57.07029098525629,1,3.829438934778986,8.136743995063316
0,moyen,1,1,150,7,0.08,0.83,129,7308.80879198925,56.65743249604069,1,3.8862002894165815,8.136743995063316
0,moyen,1,1,150,8,0.04,0.79,123,6410.827513675007,52.12054889166672,1,3.755108344783314,8.136743995063316
0,moyen,1,1,150,9,0.0,0.75,121,6738.57295290644,55.69068556121025,1,3.8049681593371236,8.136743995063316
0,moyen,1,1,150,10,-0.04,0.71,109,5939.502296579095,54.49084675760638,1,3.6787453262952883,8.136743995063316
0,moyen,1,1,150,11,0.04,0.79,124,6856.578864344351,55.2949908414867,1,3.8223285944060463,8.136743995063316
0,moyen,1,1,150,12,0.08,0.83,121,6573.838193708875,54.32924127032128,1,3.7802178467597263,8.136743995063316
0,moyen,1,1,150,13,-0.04,0.71,102,5418.051318463421,53.11815018101393,1,3.5868562003502578,8.136743995063316
0,moyen,1,1,150,14,-0.04,0.71,112,6121.509451377524,54.65633438729932,1,3.7089286933808325,8.136743995063316
0,moyen,1,1,150,15,0.0,0.75,106,5806.463366219612,54.77795628509068,1,3.6560916554711635,8.136743995063316
0,moyen,1,1,150,16,0.04,0.79,117,6376.829461653004,54.502815911564134,1,3.7497910091380424,8.136743995063316
0,moyen,1,1,150,17,0.08,0.83,126,7120.814427797342,56.51440022061383,1,3.8601420896947873,8.136743995063316
0,moyen,1,1,150,18,0.08,0.83,113,6344.8643190574985,56.149241761570785,1,3.7447657019083054,8.136743995063316
0,moyen,1,1,150,19,0.08,0.83,119,6354.357545635196,53.39796256836299,1,3.7462607901030287,8.136743995063316
0,moyen,1,1,150,20,0.04,0.79,117,6248.857335073091,53.409037051906765,1,3.7295186055311045,8.136743995063316
0,moyen,1,1,150,21,0.0,0.75,113,6129.3394441735345,54.24194198383659,1,3.7102069711441037,8.136743995063316
0,moyen,1,1,150,22,-0.04,0.71,100,5522.371899958063,55.22371899958063,1,3.605927444905094,8.136743995063316
0,moyen,1,1,150,23,0.04,0.79,116,6394.571653742257,55.125617704674625,1,3.752569436241315,8.136743995063316
0,moyen,1,1,150,24,0.08,0.83,129,6941.519132151907,53.810225830634934,1,3.834640630573306,8.136743995063316
1,moyen,1,1,150,1,-0.04,0.61,91,4655.0898264320085,51.1548332574946,0,3.435081192191784,1.4577222056899504
1,moyen,1,1,150,2,-0.04,0.61,89,4339.878467695903,48.76267941231352,0,3.364966329771063,1.4577222056899504
1,moyen,1,1,150,3,0.0,0.65,102,4991.4584056331005,48.93586672189314,0,3.504848117605957,1.4577222056899504
1,moyen,1,1,150,4,0.04,0.6900000000000001,106,5257.912065078525,49.60294401017477,0,3.5568539870290983,1.4577222056899504
1,moyen,1,1,150,5,0.08,0.73,106,5385.84127096712,50.80982331101057,0,3.5808935081702287,1.4577222056899504
1,moyen,1,1,150,6,0.08,0.73,105,5322.754934451495,50.692904137633285,0,3.569110999025785,1.4577222056899504
1,moyen,1,1,150,7,0.08,0.73,111,5570.009282958232,50.18026381043452,0,3.6145167054230085,1.4577222056899504
1,moyen,1,1,150,8,0.04,0.6900000000000001,107,5216.554075577673,48.75284182782872,0,3.548957030014662,1.4577222056899504
1,moyen,1,1,150,9,0.0,0.65,96,4703.904613594142,48.99900639160564,0,3.4455129175542774,1.4577222056899504
1,moyen,1,1,150,10,-0.04,0.61,94,4750.728040266291,50.53966000283288,0,3.455417862822543,1.4577222056899504
1,moyen,1,1,150,11,0.04,0.6900000000000001,108,5403.662440975831,50.03391149051695,0,3.5841969383725525,1.4577222056899504
1,moyen,1,1,150,12,0.08,0.73,124,6216.459291781905,50.132736224047626,0,3.7243204838608994,1.4577222056899504
1,moyen,1,1,150,13,-0.04,0.61,87,4347.421469114376,49.97036171395835,0,3.366702888510583,1.4577222056899504
1,moyen,1,1,150,14,-0.04,0.61,94,4846.167083270513,51.5549689709629,0,3.4753080852806653,1.4577222056899504
