magasin_id,taille,urbain,qualite_equipe,pub
112,petit,1,1,0
176,moyen,1,0,1
171,moyen,0,1,1
6,moyen,0,0,0
94,petit,0,0,1
115,grand,0,1,1
40,moyen,1,1,0
147,moyen,1,0,0
12,moyen,0,1,1
75,petit,1,1,1
31,grand,1,0,1
103,grand,1,0,0
153,moyen,0,1,1
51,petit,1,1,1
21,petit,1,0,1
57,moyen,1,1,1
19,moyen,1,0,1
185,moyen,1,1,0
78,moyen,1,1,0
44,grand,1,1,1
79,moyen,0,1,0
60,moyen,1,0,1
154,petit,1,1,0
16,moyen,1,0,0
43,petit,0,0,1
197,grand,1,0,0
102,petit,1,0,1
70,petit,1,1,0
42,moyen,0,1,0
5,grand,1,1,0
